3,x,5,4,x,2,x,6,x
4,9,x,7,6,x,1,x,8
6,x,x,1,x,3,2,4,5
x,x,3,9,x,x,5,8,x
9,6,x,x,5,8,7,x,3
x,8,1,3,x,4,x,9,2
x,5,x,6,x,1,4,x,x
2,x,x,5,4,9,x,7,x
1,4,9,x,x,7,3,x,6
